"Inventarnummer","Joins","Image-link","Publikation","CTH","Fundort","Zeit","TLHdig","Anmerkungen"
"1195/u",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=1195/u)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1195%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1195%2Fu)","KBo 22.62 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=22&n=62)","291.I.a.A | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  alter Grabungsschutt L/19. - hellgrauer, gebr. Ton.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 22.62)","s. E. von Schuler, TUAT I/1, 1982, 96-112; H.A. Hoffner, Laws, 1997, 160 (Sigel A); id., apud M.T. Roth, LCMAM, 1995, 213-247; id., CoS 2, 2003, 106-119; id., FsKošak, 2007, 391, 394-396; Kitchen - Lawrence, Treaty, 2012, 251-292; B. Christiansen, ZAR 21, 2015, 31-101;  ↂ s. E. von Schuler, TUAT I/1, 1982, 96-112; H.A. Hoffner, Laws, 1997, 160 (Sigel A); id., apud M.T. Roth, LCMAM, 1995, 213-247; id., CoS 2, 2003, 106-119; id., FsKošak, 2007, 391, 394-396; Kitchen - Lawrence, Treaty, 2012, 251-292; B. Christiansen, ZAR 21, 2015, 31-101; vgl. C. Watkins, TPS 1971, 74, 80; G. Giorgadze, AcAn 22, 1974, 304; F. Starke, StBoT 23, 1977, 21f., 29, 33ff.; H.C. Melchert, JCS 31, 1979, 57; M. Marazzi, SMEA 22, 1980, 67f.; id., SEVO 4, 2008, 64f.; H.G. Güterbock, OrNS 52, 1983, 74; E. Neu, StBoT 26, 1983, 268 Anm. 53, 286 Anm. 9; J. Catsanicos, BSL 81, 1986, 163; id., Faute, 1991, 12f.; B.J. Collins, OrNS 56, 1987, 136-141; R.H. Beal, AoF 15, 1988, 274-279; id., OrNS 57, 1988, 165f.; id., OHAA, 2011, 581; id., Disability, 2017, 42, 44; G. Beckman, GsSchwartz, 1988, 99-106; id., CoS 1, 2003, 215; J. Weitenberg, FsPolomé, 1991, 189-198; J. Puhvel, JIES 26, 1998, 161; id., KZ 120, 2007, 63; id., JCS 67, 2015, 66; id., FsSoučková-Siegelová, 2016, 318; H. Klengel, HbOr I/34, 1999, 60 [A7]; E. Rieken, MSS 59, 1999, 80f.; ead., GsForrer, 2004, 534f.; J. Boley, IBS 97, 2000, 190; S.E. Kimball, GsCarter, 2000, 138; R. Arnott, Disease, 2002, 45; P. Dardano, OrNS 71, 2002, 375, 391; ead., 7. IKH, 2010, 177; ead., Intensification, 2017, 119; H. Hoffner - C. Melchert, GsImparati, 2002, 380, 383; Th. van den Hout, GsGüterbock, 2002, 80f.; id., Literacy, 2020, 88; P. Goedegebuure, Sprache 43, 2002/3, 9f. mit Anm. 24; ead., 6. IKH, 2007, 330; ead., Kategorien, 2009, 105; ead., StBoT 55, 2014, 112f., 124, 189, 250, 280, 309, 329f., 332, 344-350, 355f., 358-360, 362f., 368f., 371, 373f., 380, 400, 438, 470, 490, 502, 534; I. Yakubovich, JNES 65, 2006, 40, 46; id., Luvian, 2010, 184, 240-242, 362; V. Cambi, Tempo, 2007, 134f., 171f.; S. Patri, StBoT 49, 2007, 60, 76, 98; A. Archi, Diritti, 2008, 274-287; M. Doğan-Alparslan, FsAbbasoğlu, 2008, 396; D. Groddek, DBH 24, 2008, 62-64; S. Jackson, GDNES, 2008, 41f. und passim; A. Kloekhorst, IEED 5, 2008, 345, 484, 595, 811, 917 (verschrieben als KUB 6.2); id., AoF 39, 2012, 260; id., StBoT 56, 2014, 609; id., IF 119, 2014, 62; A. Nikolaev, JAOS 130, 2010, 69; Y. Feder, Blood, 2011, 236; C. Brosch, AoF 40, 2013, 318; id., Topoi 20, 2014, 107f.; R. Hawley et al., PIHANSt 124, 2014, 75; İ. Taş - V. Dinler, Aramazd 9, 2015, 73-90; A.V. Sideltsev, RA 109, 2015, 8, 24; id., Entzifferung, 2018, 330, 339; A. Sideltsev - M. Molina, IF 120, 2015, 240; W.J.I. Waal, StBoT 57, 2015, 158, 258; M. Zorman, KZ 126, 2015, 132; ead., Diachronica 34:2, 2017, 261; ead., 9. IKH, 2019, 1269; M. Cajnko, ZA 106, 2016, 223, 227; ead., AoF 45, 2018, 44; P. Cotticelli-Kurras, FsTischler, 2016, 36; D. Frantíková, IF 121, 2016, 189; G. Inglese, Subordination, 2016, 64, 73, 97f.; M. Kudrinski - I. Yakubovich, AoF 43, 2016, 62; S. Luraghi - G. Inglese, Entzifferung, 2018, 260, 267. | KUB 6.2 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 6.2)"
"1195/u","+1338/u","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1338%2Fu)","KBo 19.1 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=1)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  aus unterstem Grabungsschutt L/19. - grauer, gebr. Ton.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.1)","."
"1195/u","+814/v","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=814%2Fv)","KBo 19.1a |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=1a)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  L/19, Grabungsschutt. - grauer gebr. Ton","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.1a)","."
"1195/u","+Bo 2097","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202097)","KBo 6.2 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=2)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.2)","."
"1195/u","+Bo 69/633","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%2069%2F633); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=Bo%2069%2F633)","KBo 22.61 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=22&n=61)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I:  Tempel I, vor Mag. 9, in altem Grabungsschutt. - grauer gebr. Ton","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 22.61)","."
"1266/u",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=1266/u)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1266%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1266%2Fu)","KBo 31.66","292.II.b.C | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","T.I:  aus altem Grabungsschutt L/19. - beigefarbener, gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.66)","Join mit E 394 C. Corti (3.5.2014). Join mit 1266/u ist sehr zweifelhaft; s. H.A. Hoffner, Laws, 1997, 163 (Sigel f), ohne Joins;  ↂ Join mit E 394 C. Corti (3.5.2014). Join mit 1266/u ist sehr zweifelhaft; s. H.A. Hoffner, Laws, 1997, 163 (Sigel f), ohne Joins; vgl. A. Kloekhorst, IEED 5, 2008, 915f.; J. Puhvel, Aramazd IV/2, 2009, 79."
"1266/u","(+)Bo 2099","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202099)","KBo 6.19 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=19)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.19)","."
"1266/u","(+)Bo 2101","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202101)","KBo 6.18 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=18)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.18)","."
"1266/u","(+)Bo 2107","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202107)","KBo 6.14 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=6&n=14)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 6.14)","."
"1266/u","(+)E 394","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=E%20394); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=E%20394)","KBo 66.65",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 66.65)","."
"1364/u",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=1364/u)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1364%2Fu); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1364%2Fu)","KBo 16.62 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=62)","293 | 293 (javascript:inf('../CTH/cthfix.php?c=293','CTH'))","T.I:  aus altem Grabungsschutt L/19. - rotbrauner, hart gebr. Ton.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.62)","s. J. Klinger, TUAT NF 9, 2020, 189ff.; J.J.S. Weitenberg, Schrijvend verleden, 1983, 182-186; H.A. Hoffner, CoS 3, 2003, 57-60;  ↂ s. J.J.S. Weitenberg, Schrijvend verleden, 1983, 182-186; H.A. Hoffner, CoS 3, 2003, 57-60; vgl. H.G. Güterbock, FsOtten, 1973, 87f.; H. Eichner, Sprache 21, 1975, 164; B. Forssman, KZ 94, 1980, 71f.; I. Hoffmann, THeth 11, 1984, 116; F. Starke, StBoT 31, 1990, 268f.; D. Symington, AnSt 41, 1991, 120; M. Marazzi, FsBelardi, 1994, 141; P. Cotticelli-Kurras, 2. IKH, 1995, 88, 93, 95; J. Puhvel, JIES 26, 1998, 161f.; H. Klengel, HbOr I/34, 1999, 250 [A40]; id., FsWegner, 2007, 163 Anm. 53; H.C. Melchert, Ktema 24, 1999, 17; id., GsNeu, 2010, 185; N. Tani, Eothen 10, 1999, 168-191; J. Boley, IBS 97, 2000, 175, 199, 349; P. Dardano, OrNS 71, 2002, 355; ead., RANT 10, 2013, 126; ead., OrNS 82, 2013, 61; ead., 8. IKH, 2014, 249, 252f.; ead., Entzifferung, 2018, 46; S. Zeilfelder, FsNeumann2, 2002, 528; G. Beckman, CoS 1, 2003, 215; M. Marizza, SMEA 48, 2006, 163; C. Mora, SEVO 3, 2006, 136; ead., 54. CRRAI, 2012, 653; A. Taggar-Cohen, THeth 26, 2006, 36; ead., VT 61, 2011, 469; J. Hazenbos, Erfassung, 2007, 98 Anm. 15; S. Patri, StBoT 49, 2007, 87; A. Kloekhorst, IEED 5, 2008, 953; Th. van den Hout, FsArchi, 2010, 259; Li Zheng, 7. IKH, 2010, 1020; id., 9. IKH, 2019, 517f., 529f.; J. Tavernier, Identité, 2010, 183 (verschrieben als KUB 13.5+); M. Valério - I. Yakubovich, FsIvanov, 2010, 109; Ch. Lebrun, RANT 8, 2011, 206; ead., PIOL 66, 2014, 114; J. Puhvel, Aramazd 6, 2011, 69; W. Waal, AnSt 61, 2011, 27; B. Christiansen, StBoT 53, 2012, 99f., 491f.; M. Giorgieri - M.G. Maier, DBH 42, 2013, 209; P. Goedegebuure, StBoT 55, 2014, 215, 395; A.V. Sideltsev, Tipologija, 2014, 217; id., AoF 42, 2015, 202, 258; id., RA 109, 2015, 14, 25; id., Entzifferung, 2018, 341; E. Devecchi, Philippika 86,1, 2015, 229-231; M. Gander, Klio 27(2), 2015, 488 Anm. 213; Sh. Gordin, StBoT 59, 2015, 18; G. Torri, CRRAI 57, 2015, 577; M. Zorman, KZ 126, 2015, 131; B. Alexandrov, Comptabilité(S) 8, 2016, 27f.; M. Cajnko, ZA 106, 2016, 222f.; E. Rieken, Partizip, 2017, 400; J. Klinger, GsÇambel, 2018, 208; M. Vigo, AOAT 440, 2018, 302f.; M. Cammarosano, DAAM 1, 2019, 100; M. Cammarosano et. al., Mesopotamia 54, 2019, 138f.; S. Görke, CHANE 107, 2019, 503; B. Bellucci - M. Vigo, FsMora, 2020, 105; A. Carnevale, MAVOA 2, 2020, 25; R. Francia, FsdeMartino, 2020, 183. | KUB 13.5 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 13.5)"
"1364/u","+Bo 2131","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%202131)","KUB 13.35",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 13.35)","."
"1364/u","+Bo 3539","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%203539)","KUB 23.80",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 23.80)","."
"243/v",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=243%2Fv)","KBo 63.9","297.? | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","T.I:  L/19 Grabungsschutt. - hellbrauner gebr. Ton","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 63.9)","Oder CTH 275? ↂ  vgl. H.M. Kümmel, StBoT 3, 1967, 79; E. Neu, StBoT 18, 1974, 80. - Oder CTH 275? | 275 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=275); 275 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=275)"
"266/v",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=266/v)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=266%2Fv); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=266%2Fv)","KBo 19.7 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=7)","292 | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","T.I:  L/19 Grabungsschutt. - grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.7)","s. H.A. Hoffner, Laws, 1997, 113f. (Sigel n). ↂ s. H.A. Hoffner, Laws, 1997, 113f. (Sigel n)."
"266/v","+Bo 3464","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%203464)","KUB 13.15",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 13.15)","."
"378/v",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=378%2Fv); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=378%2Fv)","KBo 57.13","291.II | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  L/19 Grabungsschutt. - hellbrauner gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 57.13)","G. Torri und L. Warbinek (16.07.2025) schlagen einen indirekten Join mit KBo 6.5 vor; s. D. Groddek, DBH 36, 2011, 7;  Par. KBo 6.2 Vs. II 58ff. (s. sub 1195/u). ↂ s. D. Groddek, DBH 36, 2011, 7; vgl. H. Berman, Diss., 1972, 73. - Par. KBo 6.2 Vs. II 58ff. (s. sub 1195/u). | KBo 6.5 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.5); KBo 6.2 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.2); 1195/u (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=1195/u); KBo 6.2 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.2); 1195/u (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=1195/u)"
"530/v",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=530%2Fv); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=530%2Fv)","KBo 19.6 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=6)","292 | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","T.I:  L/19 Grabungsschutt. - grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.6)","s. H.A. Hoffner, Laws, 1997, 101f. (Sigel g);  ↂ s. H.A. Hoffner, Laws, 1997, 101f. (Sigel g); vgl. A. Kammenhuber, 1974 = THeth 19/2, 1993, 545 (""joint mit KBo 6.11""). | KBo 6.11 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.11)"
"1196/v",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=1196/v)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1196%2Fv); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1196%2Fv)","KBo 19.2 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=2)","291.I.a.B | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","T.I:  L/19 alter Grabungsschutt. - grauer gebr. Ton","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.2)","s. H.A. Hoffner, Laws, 1997, 69-75 (Sigel M). ↂ s. H.A. Hoffner, Laws, 1997, 69-75 (Sigel M)."
"1196/v","(+)Bo 1789","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%201789)","KUB 29.16",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","T.I *:  Fundort bestimmt durch Join - [In Istanbul]","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.16)","."
"1/y",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1%2Fy)","KBo 16.58 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=58)","297.18 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","---:  von einem Jungen aus dem Dorf beschlagnahmt. - grauschwarzer Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.58)","ↂ  vgl. D. Symington, AnSt 41, 1991, 122 Anm. 81; J.M. Pringle, Diss., 1993, 215f.; Th. van den Hout, StBoT 38, 1995, 177; M. Marizza, Mesopotamia 45, 2010, 33."
"985/z",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=985%2Fz); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=985%2Fz)","KBo 19.9 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=19&n=9)","292 | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","T.I:  Grosser Tempel, Mag. 11, obere Schutterde. - grauer gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 19.9)","s. H.A. Hoffner, Laws, 1997, 103ff. (Sigel h);  ↂ s. H.A. Hoffner, Laws, 1997, 101f. (Sigel g); vgl. Th. van den Hout, Anatolisch u. Idg., 2001, 176 Anm. 43."
"AAA3 Nr.4",".","",".","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Ḫattuša","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=<font color='PapayaWhip'>.</font>)","."
"AnAr 11500",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=AnAr%2011500)","ABoT 2.329","291 | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Ḫattuša","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=ABoT 2.329)","G. Torri und L. Warbinek (16.07.2025) nehmen ein direkten Join mit KBo 6.2+ an und bestimmen das Fragment als aH; s. R. Akdoğan, DBH 32, 2010, 154. - Dupl. KBo 6.5 I 14'ff. Hinweis und CTH-Bestimmung J. Lorenz (11.2021). | KBo 6.2 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.2); KBo 6.5 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 6.5)"
"AO 7733.46",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=AO%207733.46)","FHL 90","292 | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Ḫattuša","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=FHL 90)","Hethitische Gesetze §§113-114,  (Aktuelle Museumsnr. AO 7733.at). ↂ Hethitische Gesetze §§113-114, vgl. H. Berman, FsGüterbock², 1986, 33. - (Aktuelle Museumsnr. AO 7733.at). | AO 7733.at (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=AO 7733.at); AO 7733.at (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=AO 7733.at)"
"Bo 557",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20557)","KUB 40.83","295.10 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Ḫattuša","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.83)","ↂ  vgl. V. Haas, HbOr I/15, 1994, 883 Anm. 47; 886 Anm. 68; 897 Anm. 129; 907f. Anm. 175, 184; M.-C. Trémouille, RANT 1, 2004, 162 Anm. 24; D. Schwemer, Abwehrzauber, 2007, 262 Anm. 24; Th. Zehnder, FsKošak, 2007, 730; J.L. Miller, AoF 37, 2010, 181f.; Ch. Lebrun, PIOL 66, 2014, 146f.; W.J.I. Waal, StBoT 57, 2015, 262; B.J. Collins, Women, 2016, 331; M. Hutter, CHANE 107, 2019, 508."
"Bo 646",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20646)","KUB 40.80","297.11 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Ḫattuša","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.80)","ↂ  vgl. R. Werner, Asiatische Studien 24, 1970, 60; Th. van den Hout, StBoT 38, 1995, 183f.; M.R. Adamthwaite, Emar, 2001, 58f. mit Anm. 22 (zu fdU-IR); S. de Martino, GsImparati2, 2010, 111f.; J. Glocker, AoF 38, 2011, 271; M. Forlanini, FsFales, 2012, 280 Anm. 33."
"Bo 654",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20654)","KUB 57.21","297.? | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Ḫattuša","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 57.21)","s. J. Tischler, DBH 49, 2016, 142f. ↂ s. J. Tischler, DBH 49, 2016, 142f."
"Bo 778",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=Bo 778)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20778)","KUB 28.88","295.13 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Ḫattuša","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 28.88)","Vs. ist CTH 734.2.A,  ↂ Vs. ist CTH 734.2.A, vgl. A.M. Polvani, Eothen 3, 1988, 153f.; J. Klinger, StBoT 37, 1996, 71; M. Hutter, AOAT 391, 2011,  121; M. Kudrinski, IF 121, 2016, 168, 170. | 734 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=734); 734 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?c=734)"
"Bo 778","+Bo 6910","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%206910)","KUB 40.85",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Ḫattuša","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.85)","."
"Bo 869",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%20869)","KUB 40.86","294.3 | 294 (javascript:inf('../CTH/cthfix.php?c=294','CTH'))","Ḫattuša","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 40.86)","ↂ  vgl. V. Haas, HbOr I/15, 1994, 531 Anm. 316."
"Bo 1402",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%201402)","KUB 26.56","291.I.b.B | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Ḫattuša:  [In Istanbul]","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 26.56)","s. H.A. Hoffner, Laws, 1997, 34-37 (Sigel J);  ↂ s. H.A. Hoffner, Laws, 1997, 34-37 (Sigel J); vgl. V. Cambi, Tempo, 2007, 150."
